accession,label,offset,ar
0001193125-25-280235,EARNINGS,0,-0.08830635669646907
0001193125-25-280235,EARNINGS,1,0.0537339962680551
0001193125-25-280235,EARNINGS,2,-0.041931053007338126
0001193125-25-280235,EARNINGS,3,0.05636108076708653
0001193125-25-280235,EARNINGS,4,-0.08188529635102404
0001193125-25-280235,EARNINGS,5,-0.020424844707222167
0001193125-25-280235,EARNINGS,6,-0.0059731082169168954
0001193125-25-280235,EARNINGS,7,-0.02707121789580219
0001193125-25-280235,EARNINGS,8,0.021673052890720426
0001193125-25-280235,EARNINGS,9,0.02347099345585726
0001193125-25-280235,EARNINGS,10,-0.04248993799980265
0001193125-25-314364,OTHER,-10,0.023647273374923006
0001193125-25-314364,OTHER,-9,0.025369563346339663
0001193125-25-314364,OTHER,-8,-0.041116132633506074
0001193125-25-314364,OTHER,-7,-0.029802851418176946
0001193125-25-314364,OTHER,-6,0.28397080313012374
0001193125-25-314364,OTHER,-5,0.03820901552566659
0001193125-25-314364,OTHER,-4,0.0910016165588051
0001193125-25-314364,OTHER,-3,0.02233319745807767
0001193125-25-314364,OTHER,-2,-0.008739027334234496
0001193125-25-314364,OTHER,-1,0.013129375230753096
0001193125-25-314364,OTHER,0,0.11355068810437353
0001193125-25-314364,OTHER,1,-0.06341766591625253
0001193125-25-314364,OTHER,2,0.004193423819109948
0001193125-25-314364,OTHER,3,-0.035166795185534235
0001193125-25-314364,OTHER,4,-0.03781969752945073
0001193125-25-314364,OTHER,5,0.026428541866340916
0001193125-25-314364,OTHER,6,-0.005039566121783261
0001193125-25-314364,OTHER,7,0.04905896718506536
0001193125-25-314364,OTHER,8,-0.03314649207363983
0001193125-25-314364,OTHER,9,0.0033439558420054654
0001193125-25-314364,OTHER,10,-0.04299565507738535
0001564590-19-004478,EARNINGS,-10,0.016932114251118905
0001564590-19-004478,EARNINGS,-9,-0.009898835617318932
0001564590-19-004478,EARNINGS,-8,-0.012496915062350872
0001564590-19-004478,EARNINGS,-7,0.03865920689594276
0001564590-19-004478,EARNINGS,-6,-0.014925721319573834
0001564590-19-004478,EARNINGS,-5,-0.010841448594780872
0001564590-19-004478,EARNINGS,-4,-0.01734488844438709
0001564590-19-004478,EARNINGS,-3,0.017903488483077094
0001564590-19-004478,EARNINGS,-2,0.033182102473594495
0001564590-19-004478,EARNINGS,-1,-0.006450294573286872
0001564590-19-004478,EARNINGS,0,0.08459735722569983
0001564590-19-004478,EARNINGS,1,0.04182372961761107
0001564590-19-004478,EARNINGS,2,-0.008509833633462284
0001564590-19-004478,EARNINGS,3,0.01675631225198355
0001564590-19-004478,EARNINGS,4,-0.00424623752616546
0001564590-19-004478,EARNINGS,5,-0.02571831126100605
0001564590-19-004478,EARNINGS,6,0.006617551453559915
0001564590-19-004478,EARNINGS,7,0.01867543669887885
0001564590-19-004478,EARNINGS,8,-0.016660666698786412
0001564590-19-004478,EARNINGS,9,-0.002382558184449623
0001564590-19-004478,EARNINGS,10,0.03200860433165137
0001193125-19-064601,OTHER,-10,-0.011097940331114484
0001193125-19-064601,OTHER,-9,-0.018423569346340263
0001193125-19-064601,OTHER,-8,0.01826446157408472
0001193125-19-064601,OTHER,-7,0.03282909211022686
0001193125-19-064601,OTHER,-6,-0.007109838894587519
0001193125-19-064601,OTHER,-5,0.08398003835281254
0001193125-19-064601,OTHER,-4,0.04099494044599901
0001193125-19-064601,OTHER,-3,-0.008142320482105232
0001193125-19-064601,OTHER,-2,0.01566554035463527
0001193125-19-064601,OTHER,-1,-0.005000846812457392
0001193125-19-064601,OTHER,0,-0.027166084311866248
0001193125-19-064601,OTHER,1,0.0048291491257774904
0001193125-19-064601,OTHER,2,0.017826341560023325
0001193125-19-064601,OTHER,3,-0.015074673916014629
0001193125-19-064601,OTHER,4,-0.0023799093327797633
0001193125-19-064601,OTHER,5,0.03243151009635047
0001193125-19-064601,OTHER,6,-0.02481503575404558
0001193125-19-064601,OTHER,7,-0.003145758762888329
0001193125-19-064601,OTHER,8,0.002212233027575899
0001193125-19-064601,OTHER,9,-0.007524987084958252
0001193125-19-064601,OTHER,10,-0.02089100387612648
0001564590-19-014817,EARNINGS,-10,-0.083157720342433
0001564590-19-014817,EARNINGS,-9,0.005034537641721428
0001564590-19-014817,EARNINGS,-8,0.002878444892235781
0001564590-19-014817,EARNINGS,-7,0.00642068526747477
0001564590-19-014817,EARNINGS,-6,-0.011303664054700364
0001564590-19-014817,EARNINGS,-5,0.016094907113480363
0001564590-19-014817,EARNINGS,-4,0.017974192312177728
0001564590-19-014817,EARNINGS,-3,-0.00730037197555684
0001564590-19-014817,EARNINGS,-2,-0.04580163193322556
0001564590-19-014817,EARNINGS,-1,-0.0034177902151848166
0001564590-19-014817,EARNINGS,0,0.07988527333693024
0001564590-19-014817,EARNINGS,1,0.018296339592384612
0001564590-19-014817,EARNINGS,2,0.016198231042796777
0001564590-19-014817,EARNINGS,3,-0.005472562070502018
0001564590-19-014817,EARNINGS,4,0.01375465462991333
0001564590-19-014817,EARNINGS,5,-0.0026560423652612903
0001564590-19-014817,EARNINGS,6,-0.017592348822981656
0001564590-19-014817,EARNINGS,7,0.0010905795543561317
0001564590-19-014817,EARNINGS,8,0.01916316063356413
0001564590-19-014817,EARNINGS,9,-0.000585861702561313
0001564590-19-014817,EARNINGS,10,-0.03144798620067983
0001564590-19-027482,EARNINGS,-10,0.012655841999767943
0001564590-19-027482,EARNINGS,-9,-0.008754866213188906
0001564590-19-027482,EARNINGS,-8,0.0028946739917251885
0001564590-19-027482,EARNINGS,-7,-0.16142147561505277
0001564590-19-027482,EARNINGS,-6,0.02344399561745298
0001564590-19-027482,EARNINGS,-5,-0.006577742036413706
0001564590-19-027482,EARNINGS,-4,0.012071898785862605
0001564590-19-027482,EARNINGS,-3,0.03224287033448231
0001564590-19-027482,EARNINGS,-2,0.04087411242293081
0001564590-19-027482,EARNINGS,-1,0.002452794596141436
0001564590-19-027482,EARNINGS,0,0.1811717429322204
0001564590-19-027482,EARNINGS,1,0.014506158439199522
0001564590-19-027482,EARNINGS,2,0.05274639380025054
0001564590-19-027482,EARNINGS,3,-0.021361719018653833
0001564590-19-027482,EARNINGS,4,0.0013274104645588313
0001564590-19-027482,EARNINGS,5,-0.029275865677613616
0001564590-19-027482,EARNINGS,6,0.027651453477591174
0001564590-19-027482,EARNINGS,7,0.016704053548103424
0001564590-19-027482,EARNINGS,8,-0.04295652166542435
0001564590-19-027482,EARNINGS,9,0.045400587201313104
0001564590-19-027482,EARNINGS,10,-0.011418175387662712
0001193125-19-240440,CLINICAL,-10,0.009248738078450044
0001193125-19-240440,CLINICAL,-9,-0.03278029947032103
0001193125-19-240440,CLINICAL,-8,0.003248181344249833
0001193125-19-240440,CLINICAL,-7,-0.008978073837839336
0001193125-19-240440,CLINICAL,-6,-0.011207898247726767
0001193125-19-240440,CLINICAL,-5,-0.02898592036162107
0001193125-19-240440,CLINICAL,-4,-0.07751389749750989
0001193125-19-240440,CLINICAL,-3,-0.041792694373549794
0001193125-19-240440,CLINICAL,-2,-0.041060638605158364
0001193125-19-240440,CLINICAL,-1,-0.033357118871872024
0001193125-19-240440,CLINICAL,0,0.6288964728167938
0001193125-19-240440,CLINICAL,1,0.059024556175655794
0001193125-19-240440,CLINICAL,2,-0.01255552757352123
0001193125-19-240440,CLINICAL,3,-0.0637429063887847
0001193125-19-240440,CLINICAL,4,0.03235008277616131
0001193125-19-240440,CLINICAL,5,0.09174253279992957
