ticker,date,adj_close,volume
AARD,2025-02-13,14.3100004196167,1711000
AARD,2025-02-14,13.300000190734863,182700
AARD,2025-02-18,13.5600004196167,179300
AARD,2025-02-19,14.899999618530273,166400
AARD,2025-02-20,17.25,452300
AARD,2025-02-21,13.739999771118164,241500
AARD,2025-02-24,13.029999732971191,131500
AARD,2025-02-25,13.649999618530273,92400
AARD,2025-02-26,13.109999656677246,142900
AARD,2025-02-27,13.399999618530273,117200
AARD,2025-02-28,12.729999542236328,78400
AARD,2025-03-03,12.729999542236328,145300
AARD,2025-03-04,12.0,70300
AARD,2025-03-05,11.380000114440918,38000
AARD,2025-03-06,9.520000457763672,178000
AARD,2025-03-07,10.130000114440918,210200
AARD,2025-03-10,10.260000228881836,122000
AARD,2025-03-11,10.420000076293945,127800
AARD,2025-03-12,10.140000343322754,172600
AARD,2025-03-13,10.479999542236328,48400
AARD,2025-03-14,10.010000228881836,109700
AARD,2025-03-17,9.260000228881836,76200
AARD,2025-03-18,9.420000076293945,134300
AARD,2025-03-19,9.59000015258789,37400
AARD,2025-03-20,9.180000305175781,52100
AARD,2025-03-21,9.90999984741211,263400
AARD,2025-03-24,9.239999771118164,125300
AARD,2025-03-25,9.09000015258789,52300
AARD,2025-03-26,9.420000076293945,46800
AARD,2025-03-27,8.899999618530273,146300
AARD,2025-03-28,7.739999771118164,142600
AARD,2025-03-31,7.510000228881836,350300
AARD,2025-04-01,8.289999961853027,234700
AARD,2025-04-02,9.350000381469727,99700
AARD,2025-04-03,8.6899995803833,149300
AARD,2025-04-04,8.15999984741211,208500
AARD,2025-04-07,7.940000057220459,48200
AARD,2025-04-08,7.289999961853027,145500
AARD,2025-04-09,7.789999961853027,531000
AARD,2025-04-10,7.019999980926514,65800
AARD,2025-04-11,7.139999866485596,30400
AARD,2025-04-14,7.619999885559082,44900
AARD,2025-04-15,7.949999809265137,30100
AARD,2025-04-16,7.570000171661377,41600
AARD,2025-04-17,7.0,84700
AARD,2025-04-21,7.119999885559082,25900
AARD,2025-04-22,7.659999847412109,82100
AARD,2025-04-23,8.520000457763672,93400
AARD,2025-04-24,8.220000267028809,51500
AARD,2025-04-25,7.929999828338623,44200
AARD,2025-04-28,10.119999885559082,52100
AARD,2025-04-29,11.430000305175781,78300
AARD,2025-04-30,11.109999656677246,68600
AARD,2025-05-01,11.329999923706055,171800
AARD,2025-05-02,12.859999656677246,162000
AARD,2025-05-05,10.539999961853027,60800
AARD,2025-05-06,10.430000305175781,35400
AARD,2025-05-07,10.630000114440918,15100
AARD,2025-05-08,10.729999542236328,17200
AARD,2025-05-09,10.420000076293945,215200
AARD,2025-05-12,10.970000267028809,19600
AARD,2025-05-13,10.140000343322754,52300
AARD,2025-05-14,8.739999771118164,147000
AARD,2025-05-15,9.09000015258789,43700
AARD,2025-05-16,9.890000343322754,19200
AARD,2025-05-19,10.430000305175781,44400
AARD,2025-05-20,11.0,20000
AARD,2025-05-21,11.119999885559082,23700
AARD,2025-05-22,10.010000228881836,26600
AARD,2025-05-23,10.5,22100
AARD,2025-05-27,9.819999694824219,32600
AARD,2025-05-28,10.210000038146973,13900
AARD,2025-05-29,10.300000190734863,12500
AARD,2025-05-30,10.4399995803833,18500
AARD,2025-06-02,11.130000114440918,26600
AARD,2025-06-03,11.65999984741211,36700
AARD,2025-06-04,11.699999809265137,32600
AARD,2025-06-05,11.949999809265137,33700
AARD,2025-06-06,11.8100004196167,29700
AARD,2025-06-09,11.680000305175781,25500
AARD,2025-06-10,11.770000457763672,12600
AARD,2025-06-11,11.289999961853027,13700
AARD,2025-06-12,11.0600004196167,14300
AARD,2025-06-13,10.739999771118164,14800
AARD,2025-06-16,10.850000381469727,8100
AARD,2025-06-17,11.270000457763672,70800
AARD,2025-06-18,12.079999923706055,131700
AARD,2025-06-20,11.130000114440918,52000
AARD,2025-06-23,13.329999923706055,87800
AARD,2025-06-24,15.760000228881836,169700
AARD,2025-06-25,15.380000114440918,46800
AARD,2025-06-26,13.859999656677246,44500
AARD,2025-06-27,13.390000343322754,677000
AARD,2025-06-30,13.520000457763672,79300
AARD,2025-07-01,13.5600004196167,67600
AARD,2025-07-02,13.520000457763672,41800
AARD,2025-07-03,13.920000076293945,10600
AARD,2025-07-07,13.920000076293945,51900
AARD,2025-07-08,13.039999961853027,49400
AARD,2025-07-09,12.729999542236328,25700
AARD,2025-07-10,12.600000381469727,22900
AARD,2025-07-11,12.170000076293945,38100
AARD,2025-07-14,12.109999656677246,60800
AARD,2025-07-15,11.609999656677246,40000
AARD,2025-07-16,11.600000381469727,37400
AARD,2025-07-17,11.960000038146973,37100
AARD,2025-07-18,11.619999885559082,71100
AARD,2025-07-21,12.0,80700
AARD,2025-07-22,13.75,50600
AARD,2025-07-23,14.229999542236328,29300
AARD,2025-07-24,13.470000267028809,28800
AARD,2025-07-25,14.699999809265137,38600
AARD,2025-07-28,13.579999923706055,34600
AARD,2025-07-29,12.979999542236328,28100
AARD,2025-07-30,12.6899995803833,26300
AARD,2025-07-31,12.010000228881836,31500
AARD,2025-08-01,12.130000114440918,36200
AARD,2025-08-04,12.5,20200
AARD,2025-08-05,12.550000190734863,17400
AARD,2025-08-06,12.569999694824219,13600
AARD,2025-08-07,11.970000267028809,36100
AARD,2025-08-08,11.989999771118164,25000
AARD,2025-08-11,11.149999618530273,73900
AARD,2025-08-12,10.039999961853027,146900
AARD,2025-08-13,11.199999809265137,83000
AARD,2025-08-14,11.260000228881836,38600
AARD,2025-08-15,10.779999732971191,86700
AARD,2025-08-18,10.4399995803833,86000
AARD,2025-08-19,10.170000076293945,39800
AARD,2025-08-20,9.670000076293945,69200
AARD,2025-08-21,9.729999542236328,46100
AARD,2025-08-22,9.770000457763672,78000
AARD,2025-08-25,9.039999961853027,123500
AARD,2025-08-26,9.529999732971191,154600
AARD,2025-08-27,8.989999771118164,74000
AARD,2025-08-28,8.489999771118164,124600
AARD,2025-08-29,8.300000190734863,50000
AARD,2025-09-02,8.859999656677246,247200
AARD,2025-09-03,8.180000305175781,133000
AARD,2025-09-04,8.489999771118164,60200
AARD,2025-09-05,8.600000381469727,139800
AARD,2025-09-08,8.199999809265137,104200
AARD,2025-09-09,7.909999847412109,350500
AARD,2025-09-10,8.0,619600
AARD,2025-09-11,7.789999961853027,566900
AARD,2025-09-12,8.59000015258789,186900
AARD,2025-09-15,9.949999809265137,563600
AARD,2025-09-16,10.260000228881836,225400
AARD,2025-09-17,10.970000267028809,154300
AARD,2025-09-18,11.289999961853027,193400
AARD,2025-09-19,10.890000343322754,407900
AARD,2025-09-22,11.229999542236328,198000
AARD,2025-09-23,11.4399995803833,229300
AARD,2025-09-24,12.170000076293945,87400
AARD,2025-09-25,12.670000076293945,125100
AARD,2025-09-26,13.229999542236328,115900
AARD,2025-09-29,13.680000305175781,177600
AARD,2025-09-30,13.289999961853027,62900
AARD,2025-10-01,14.710000038146973,169000
AARD,2025-10-02,15.369999885559082,111800
AARD,2025-10-03,16.079999923706055,171000
AARD,2025-10-06,17.049999237060547,183900
AARD,2025-10-07,17.40999984741211,151400
AARD,2025-10-08,17.1299991607666,92600
AARD,2025-10-09,16.59000015258789,124900
AARD,2025-10-10,16.260000228881836,299600
AARD,2025-10-13,14.630000114440918,146100
AARD,2025-10-14,14.850000381469727,135400
AARD,2025-10-15,13.930000305175781,153200
AARD,2025-10-16,13.300000190734863,175700
AARD,2025-10-17,12.8100004196167,169200
AARD,2025-10-20,12.279999732971191,136300
AARD,2025-10-21,11.960000038146973,142700
AARD,2025-10-22,10.970000267028809,154800
AARD,2025-10-23,10.850000381469727,158000
AARD,2025-10-24,10.699999809265137,121800
