cik,ticker,name,sic,sic_desc,city,state,zip
0001408146,SCYYF,SCANDIUM INTERNATIONAL MINING CORP.,1000,Metal Mining,RENO,NV,89521
0001823365,GBNY,"Generations Bancorp NY, Inc.",6035,"Savings Institution, Federally Chartered",SENECA FALLS,NY,13148
0001723059,BIOE,Bio Essence Corp,2834,Pharmaceutical Preparations,IRVINE,CA,92614
0001620678,ANPCF,ANGLE plc,,,"GUILDFORD, SURREY",X0,GU2 7
0000943034,AATC,AUTOSCOPE TECHNOLOGIES CORP,3829,"Measuring & Controlling Devices, NEC",MINNEAPOLIS,MN,55403
0001050606,SALM,"SALEM MEDIA GROUP, INC. /DE/",4832,Radio Broadcasting Stations,IRVING,TX,75063
0001861233,ILLMF,illumin Holdings Inc.,7374,Services-Computer Processing & Data Preparation,TORONTO,A6,M5J 2
0001619312,LTSV,"Lightstone Value Plus REIT IV, Inc.",6798,Real Estate Investment Trusts,LAKEWOOD,NJ,08701
0001000045,OMCC,OLD MARKET CAPITAL Corp,6153,Short-Term Business Credit Institutions,OMAHA,NE,68102
0001569340,CLCS,"Cell Source, Inc.",2834,Pharmaceutical Preparations,NEW YORK,NY,10019
0001365388,HSTI,"High Sierra Technologies, Inc.",6770,Blank Checks,RENO,NV,89509
0001800373,GWLL,"GOLDENWELL BIOTECH, INC.",2000,Food and Kindred Products,SOLON,OH,44139
0001099234,MLMC,"FrankSpeech Network, Inc.",7841,Services-Video Tape Rental,CHEYENNE,WY,82009
0001076691,OSBK,OCONEE FINANCIAL CORP,6022,State Commercial Banks,WATKINSVILLE,GA,30677
0001891512,XTXXF,Adastra Holdings Ltd.,2834,Pharmaceutical Preparations,LANGLEY,A1,V4W3X
0001826000,LTCH,"Latch, Inc.",5072,Wholesale-Hardware,OLIVETTE,MO,63132
0001913838,VWFB,"VWF Bancorp, Inc.",6036,"Savings Institutions, Not Federally Chartered",VAN WERT,OH,45891
0001967306,MSBB,"Mercer Bancorp, Inc.",6036,"Savings Institutions, Not Federally Chartered",CELINA,OH,45822
0001301854,MRZLF,Mirasol Resources Ltd,,,VANCOUVER,A1,V6C 1
0001158399,BRCNF,Burcon NutraScience Corp,2020,Dairy Products,VANCOUVER,A1,V6J 1
